Date,Throughput,FTE,PTE,FTEE,Monthly in 2019,Proportion of 2019,Trend in proportion,Mvgavg
01/01/19,59357493,611693,118691,671050,59357493,100.00%,,
01/02/19,57525435,612406,118590,671711,57525435,100.00%,0.00%,
01/03/19,72683832,615607,118277,674760,72683832,100.00%,0.00%,
01/04/19,70075772,617433,117554,676222,70075772,100.00%,0.00%,
01/05/19,74731369,619435,118625,678759,74731369,100.00%,0.00%,
01/06/19,76510126,623941,119429,683666,76510126,100.00%,0.00%,
01/07/19,77243286,623877,119163,683470,77243286,100.00%,0.00%,
01/08/19,74445793,624013,118313,683183,74445793,100.00%,0.00%,
01/09/19,66941195,625786,117314,684453,66941195,100.00%,0.00%,
01/10/19,72108333,629105,117441,687838,72108333,100.00%,0.00%,
01/11/19,68608532,630031,118112,689099,68608532,100.00%,0.00%,
01/12/19,70250692,631135,118355,690325,70250692,100.00%,0.00%,
01/01/20,61673279,632574,117765,691468,59357493,103.90%,3.90%,
01/02/20,60463775,635037,118345,694224,57525435,105.11%,1.21%,
01/03/20,31029383,633539,115488,691295,72683832,42.69%,-62.42%,
01/04/20,3332788,604940,107480,658693,70075772,4.76%,-37.93%,
01/05/20,7481008,588329,104451,640566,74731369,10.01%,5.25%,
01/06/20,15252076,587605,107768,641502,76510126,19.93%,9.92%,-13.34%
01/07/20,20058537,597981,105569,650777,77243286,25.97%,6.03%,-12.99%
01/08/20,21515106,598838,105240,651470,74445793,28.90%,2.93%,-12.70%
01/09/20,21828103,596870,104184,648977,66941195,32.61%,3.71%,-1.68%
01/10/20,25716680,561886,107286,615542,72108333,35.66%,3.06%,5.15%
01/11/20,25357178,564632,109031,619160,68608532,36.96%,1.30%,4.49%
01/12/20,26417472,577999,112032,634028,70250692,37.60%,0.65%,2.94%
01/01/21,23421229,588488,114523,645764,59357493,39.46%,1.85%,2.25%
01/02/21,24867048,594748,112459,650991,57525435,43.23%,3.77%,2.39%
01/03/21,38562607,596478,111117,652048,72683832,53.06%,9.83%,3.41%
01/04/21,41599455,595582,110046,650616,70075772,59.36%,6.31%,3.95%
01/05/21,50231199,599966,111235,655596,74731369,67.22%,7.85%,5.04%
01/06/21,57177210,600827,112522,657101,76510126,74.73%,7.52%,6.19%
01/07/21,61040927,609310,107810,663227,77243286,79.02%,4.29%,6.59%
01/08/21,57484123,615501,105057,668043,74445793,77.22%,-1.81%,5.66%
01/09/21,51089715,617189,103592,668997,66941195,76.32%,-0.90%,3.88%
01/10/21,57162404,621330,103664,673173,72108333,79.27%,2.95%,3.32%
01/11/21,57644161,610824,98005,659838,68608532,84.02%,4.75%,2.80%
01/12/21,58863955,621829,108445,676063,70250692,83.79%,-0.23%,1.51%
01/01/22,46000046,627092,107943,681078,59357493,77.50%,-6.29%,-0.25%
01/02/22,48528013,631172,108118,685246,57525435,84.36%,6.86%,1.19%
01/03/22,63643054,637850,108563,692145,72683832,87.56%,3.20%,1.87%
01/04/22,63436314,643684,108510,697954,70075772,90.53%,2.96%,1.88%
01/05/22,67182736,650275,109267,704920,74731369,89.90%,-0.63%,0.98%
01/06/22,68163881,,,,76510126,89.09%,-0.81%,0.88%
